stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse
stage3a_supervised_physics,42,PICASSO-rec,0.1250,10,0.86817091,0.43408545,0.51000195,0.00469688,0.48338329,5,1024,256,512,1.1496,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.1250,10,0.86940005,0.43470003,0.51034038,0.00472455,0.49068509,5,1024,256,512,1.1491,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.1250,10,0.87005451,0.43502726,0.51073054,0.00491295,0.46401316,5,1024,256,512,1.7443,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.1250,20,0.87591979,0.43795989,0.50145511,0.00000000,0.34447931,0,1024,256,512,0.0253,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.1250,20,0.87009206,0.43504603,0.50000659,0.00032452,0.36515050,5,1024,256,512,0.3179,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.1250,20,0.86307669,0.43153835,0.49897407,0.00250874,0.42476986,5,1024,256,512,0.8756,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.1250,20,0.85673816,0.42836908,0.49546889,0.00057831,0.49713031,5,1024,256,512,1.1562,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.1250,20,0.85753237,0.42876619,0.49568394,0.00072570,0.50681040,5,1024,256,512,1.1451,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.1250,20,0.85813447,0.42906724,0.49595043,0.00069101,0.49021727,5,1024,256,512,1.7501,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.1250,30,0.87478594,0.43739297,0.49660961,0.00000000,0.34643338,0,1024,256,512,0.0394,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.1250,30,0.87117597,0.43558799,0.49588266,0.00016194,0.35959813,5,1024,256,512,0.3236,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.1250,30,0.86298902,0.43149451,0.49682390,0.00358884,0.41047455,5,1024,256,512,0.8694,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.1250,30,0.85491478,0.42745739,0.49063382,0.00027078,0.49702019,5,1024,256,512,1.1388,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.1250,30,0.85656438,0.42828219,0.49136551,0.00036331,0.49057959,5,1024,256,512,1.1500,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.1250,30,0.85932446,0.42966223,0.49254881,0.00039376,0.44420366,5,1024,256,512,1.7447,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.0625,10,0.94361719,0.47180859,0.54092628,0.00000000,0.21084760,0,1024,256,512,0.0267,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.0625,10,0.94128002,0.47064001,0.54007720,0.00073401,0.23346615,5,1024,256,512,0.3349,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.0625,10,0.94066239,0.47033120,0.53989866,0.00137979,0.23873857,5,1024,256,512,0.8720,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.0625,10,0.93528380,0.46764190,0.53801352,0.00523328,0.36130109,5,1024,256,512,1.1504,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.0625,10,0.93560756,0.46780378,0.53805728,0.00510083,0.37774235,5,1024,256,512,1.1517,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.0625,10,0.93594841,0.46797420,0.53820240,0.00535888,0.36968001,5,1024,256,512,1.7576,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.0625,20,0.93796236,0.46898118,0.53326873,0.00000000,0.21448831,0,1024,256,512,0.0395,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.0625,20,0.93588467,0.46794233,0.53272031,0.00014011,0.23802957,5,1024,256,512,0.2819,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.0625,20,0.93595807,0.46797904,0.53295664,0.00071262,0.24246151,5,1024,256,512,0.8701,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.0625,20,0.92928547,0.46464274,0.53060783,0.00060729,0.37616433,5,1024,256,512,1.1445,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.0625,20,0.92977202,0.46488601,0.53072985,0.00079251,0.39195093,5,1024,256,512,1.1673,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.0625,20,0.92951984,0.46475992,0.53061549,0.00060718,0.39654644,5,1024,256,512,1.7477,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.0625,30,0.93739688,0.46869844,0.53084722,0.00000000,0.21479215,0,1024,256,512,0.0287,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.0625,30,0.93566940,0.46783470,0.53050970,0.00016932,0.23401104,5,1024,256,512,0.3051,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.0625,30,0.93599379,0.46799690,0.53075280,0.00034739,0.23437120,5,1024,256,512,0.8605,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.0625,30,0.92877478,0.46438739,0.52837832,0.00030847,0.36961640,5,1024,256,512,1.1428,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.0625,30,0.92920956,0.46460478,0.52847164,0.00032594,0.37901994,5,1024,256,512,1.1481,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.0625,30,0.93127543,0.46563772,0.52941654,0.00047664,0.31588043,5,1024,256,512,1.7467,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.5000,10,0.55039186,0.27519593,0.37203408,0.00000000,0.63304813,0,1024,256,512,0.0258,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.5000,10,0.50484290,0.25242145,0.35632538,0.00361814,0.64581694,5,1024,256,512,0.3191,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.5000,10,0.49899470,0.24949735,0.35565195,0.01507191,0.65956431,5,1024,256,512,0.8592,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.5000,10,0.48500206,0.24250103,0.34188981,0.00641420,0.72172581,5,1024,256,512,1.1579,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.5000,10,0.48496173,0.24248086,0.34310921,0.00544350,0.71131571,5,1024,256,512,1.1471,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.5000,10,0.48652813,0.24326407,0.34468052,0.00580998,0.70400460,5,1024,256,512,1.7510,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,123,LS,0.5000,20,0.50541522,0.25270761,0.31102170,0.00000000,0.68365616,0,1024,256,512,0.0257,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,DnCNN,0.5000,20,0.47448107,0.23724054,0.30377759,0.00096392,0.68902137,5,1024,256,512,0.3420,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,Enhanced-DnCNN,0.5000,20,0.45058578,0.22529289,0.29877350,0.00304552,0.71372734,5,1024,256,512,0.8690,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec,0.5000,20,0.43984758,0.21992379,0.28197873,0.00126591,0.77982200,5,1024,256,512,1.1519,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,123,PICASSO-rec-physics,0.5000,20,0.44241072,0.22120536,0.29099304,0.00159451,0.73152696,5,1024,256,512,1.1530,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,123,PICASSO-full-light-adv,0.5000,20,0.44123656,0.22061828,0.28605958,0.00158921,0.76275038,5,1024,256,512,1.8147,full,0.001,1.0,0.05,0.05
