stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,42,PICASSO-rec,0.1250,20,5,0.49594605,0.85578345,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,6,0.49572788,0.85551520,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,7,0.49554910,0.85507368,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,8,0.49543268,0.85506608,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,9,0.49535179,0.85477047,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,10,0.49526270,0.85465077,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,1,0.51193424,0.87113586,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,2,0.50753838,0.86515786,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,3,0.50560124,0.86027208,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,4,0.50427426,0.85796130,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,5,0.50363073,0.85713959,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,6,0.50329048,0.85661750,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,7,0.50310835,0.85633805,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,8,0.50299912,0.85632531,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,9,0.50291100,0.85590439,0.00010000
stage3a_larger_training,42,PICASSO-rec-physics,0.1250,20,10,0.50279904,0.85589238,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,1,0.51143642,0.87080099,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,2,0.50732141,0.86332330,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,3,0.50575585,0.85884964,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,4,0.50452748,0.85736474,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,5,0.50423958,0.85669984,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,6,0.50498066,0.85661685,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,7,0.50745522,0.85620101,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,8,0.50947053,0.85618091,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,9,0.51018700,0.85600901,0.00010000
stage3a_larger_training,42,PICASSO-full,0.1250,20,10,0.51042586,0.85581270,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,1,0.51381171,0.87623875,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,2,0.50933050,0.87072510,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,3,0.50811533,0.86542004,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,4,0.50623350,0.86035886,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,5,0.50508704,0.85792205,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,6,0.50577664,0.85723309,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,7,0.50820813,0.85668555,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,8,0.50969730,0.85667606,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,20,9,0.51026530,0.85679428,0.00010000
