ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec,0.2500,0,0,CDL-A,block,0.89667949,0.44833975,0.54217215,0.89667949,0.4485,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec-physics,0.2500,0,0,CDL-A,block,0.94276620,0.47138310,0.55811623,0.94276620,0.4534,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=60; pattern=block,LS,0.2500,0,60,CDL-A,block,0.99914871,0.49957436,0.57521832,0.99914871,0.0135,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=60; pattern=block,Enhanced-DnCNN,0.2500,0,60,CDL-A,block,0.99654759,0.49827380,0.57447608,0.99654759,0.2370,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec,0.2500,0,60,CDL-A,block,0.92343365,0.46171682,0.55171314,0.92343365,0.4557,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec-physics,0.2500,0,60,CDL-A,block,0.94037804,0.47018902,0.55739892,0.94037804,0.4639,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=120; pattern=block,LS,0.2500,0,120,CDL-A,block,0.99912000,0.49956000,0.57526882,0.36398830,0.0174,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=120; pattern=block,Enhanced-DnCNN,0.2500,0,120,CDL-A,block,0.99717608,0.49858804,0.57471165,0.36328010,0.2457,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec,0.2500,0,120,CDL-A,block,0.88258491,0.44129246,0.53745089,0.32152438,0.4615,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec-physics,0.2500,0,120,CDL-A,block,0.93420298,0.46710149,0.55548981,0.34033713,0.4586,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=0; pattern=block,LS,0.2500,10,0,CDL-A,block,0.77498215,0.38749108,0.47903230,0.77498215,0.0132,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=0; pattern=block,Enhanced-DnCNN,0.2500,10,0,CDL-A,block,0.77502692,0.38751346,0.47904982,0.77502692,0.2396,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec,0.2500,10,0,CDL-A,block,0.77672254,0.38836127,0.48026758,0.77672254,0.4559,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec-physics,0.2500,10,0,CDL-A,block,0.77580497,0.38790248,0.47955201,0.77580497,0.4598,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=60; pattern=block,LS,0.2500,10,60,CDL-A,block,0.77509667,0.38754833,0.47906639,0.77509667,0.0152,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=60; pattern=block,Enhanced-DnCNN,0.2500,10,60,CDL-A,block,0.77513145,0.38756572,0.47907572,0.77513145,0.2590,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec,0.2500,10,60,CDL-A,block,0.77429220,0.38714610,0.47855970,0.77429220,0.4648,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec-physics,0.2500,10,60,CDL-A,block,0.77559592,0.38779796,0.47928425,0.77559592,0.4628,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=120; pattern=block,LS,0.2500,10,120,CDL-A,block,0.77526021,0.38763011,0.47915687,0.28243419,0.0139,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=120; pattern=block,Enhanced-DnCNN,0.2500,10,120,CDL-A,block,0.77518657,0.38759328,0.47908840,0.28240743,0.2462,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec,0.2500,10,120,CDL-A,block,0.77428631,0.38714316,0.47852874,0.28207930,0.4583,stage4,reused
robustness,pilot=0.2500; snr=10; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec-physics,0.2500,10,120,CDL-A,block,0.77557388,0.38778694,0.47934669,0.28254789,0.4587,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=0; pattern=block,LS,0.2500,30,0,CDL-A,block,0.75031969,0.37515984,0.43909688,0.75031969,0.0142,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=0; pattern=block,Enhanced-DnCNN,0.2500,30,0,CDL-A,block,0.75033075,0.37516537,0.43913472,0.75033075,0.2366,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec,0.2500,30,0,CDL-A,block,0.75190622,0.37595311,0.44571493,0.75190622,0.4489,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec-physics,0.2500,30,0,CDL-A,block,0.75213023,0.37606511,0.44697620,0.75213023,0.4474,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=60; pattern=block,LS,0.2500,30,60,CDL-A,block,0.75045034,0.37522517,0.43914253,0.75045034,0.0152,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=60; pattern=block,Enhanced-DnCNN,0.2500,30,60,CDL-A,block,0.75053041,0.37526520,0.43956021,0.75053041,0.2495,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec,0.2500,30,60,CDL-A,block,0.75239664,0.37619832,0.44705710,0.75239664,0.4648,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec-physics,0.2500,30,60,CDL-A,block,0.75328843,0.37664422,0.44851728,0.75328843,0.4533,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=120; pattern=block,LS,0.2500,30,120,CDL-A,block,0.75063498,0.37531749,0.43924971,0.27346300,0.0185,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=120; pattern=block,Enhanced-DnCNN,0.2500,30,120,CDL-A,block,0.75065453,0.37532727,0.43931344,0.27347007,0.2582,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec,0.2500,30,120,CDL-A,block,0.75233918,0.37616959,0.44643871,0.27408407,0.4554,stage4,reused
robustness,pilot=0.2500; snr=30; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec-physics,0.2500,30,120,CDL-A,block,0.75310236,0.37655118,0.44754811,0.27436218,0.4523,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=0; pattern=irregular,LS,0.1250,0,0,CDL-A,irregular,0.99876271,0.49938136,0.57709734,0.99876271,0.0144,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=0; pattern=irregular,Enhanced-DnCNN,0.1250,0,0,CDL-A,irregular,0.99815904,0.49907952,0.57691745,0.99815904,0.2539,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec,0.1250,0,0,CDL-A,irregular,0.93036512,0.46518256,0.55457497,0.93036512,0.4517,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec-physics,0.1250,0,0,CDL-A,irregular,0.94782117,0.47391059,0.56117603,0.94782117,0.4502,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=60; pattern=irregular,LS,0.1250,0,60,CDL-A,irregular,0.99877144,0.49938572,0.57710703,0.99877144,0.0132,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=60; pattern=irregular,Enhanced-DnCNN,0.1250,0,60,CDL-A,irregular,0.99804541,0.49902271,0.57689558,0.99804541,0.2467,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec,0.1250,0,60,CDL-A,irregular,0.94679724,0.47339862,0.56048580,0.94679724,0.4615,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec-physics,0.1250,0,60,CDL-A,irregular,0.95342201,0.47671100,0.56301504,0.95342201,0.4515,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=120; pattern=irregular,LS,0.1250,0,120,CDL-A,irregular,0.99877788,0.49938894,0.57727805,0.36386126,0.0170,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=120; pattern=irregular,Enhanced-DnCNN,0.1250,0,120,CDL-A,irregular,0.99724630,0.49862315,0.57683665,0.36330293,0.2463,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec,0.1250,0,120,CDL-A,irregular,0.93308191,0.46654096,0.55560254,0.33991902,0.4525,stage4,reused
robustness,pilot=0.1250; snr=0; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec-physics,0.1250,0,120,CDL-A,irregular,0.95409033,0.47704516,0.56332432,0.34757733,0.4472,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=0; pattern=irregular,LS,0.1250,10,0,CDL-A,irregular,0.88735962,0.44367981,0.52914497,0.88735962,0.0147,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=0; pattern=irregular,Enhanced-DnCNN,0.1250,10,0,CDL-A,irregular,0.88730550,0.44365275,0.52912168,0.88730550,0.2399,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec,0.1250,10,0,CDL-A,irregular,0.85961492,0.42980746,0.52044994,0.85961492,0.4548,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec-physics,0.1250,10,0,CDL-A,irregular,0.86927138,0.43463569,0.52332970,0.86927138,0.4589,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=60; pattern=irregular,LS,0.1250,10,60,CDL-A,irregular,0.88760397,0.44380198,0.52920607,0.88760397,0.0182,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=60; pattern=irregular,Enhanced-DnCNN,0.1250,10,60,CDL-A,irregular,0.88743077,0.44371539,0.52914681,0.88743077,0.2474,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec,0.1250,10,60,CDL-A,irregular,0.86898398,0.43449199,0.52327351,0.86898398,0.4650,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec-physics,0.1250,10,60,CDL-A,irregular,0.87185332,0.43592666,0.52405620,0.87185332,0.4450,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=120; pattern=irregular,LS,0.1250,10,120,CDL-A,irregular,0.88793319,0.44396660,0.52944788,0.32347366,0.0185,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=120; pattern=irregular,Enhanced-DnCNN,0.1250,10,120,CDL-A,irregular,0.88773477,0.44386739,0.52938807,0.32340120,0.2435,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec,0.1250,10,120,CDL-A,irregular,0.87084210,0.43542105,0.52401631,0.31724241,0.4628,stage4,reused
robustness,pilot=0.1250; snr=10; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec-physics,0.1250,10,120,CDL-A,irregular,0.86558680,0.43279340,0.52221207,0.31532858,0.4480,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=0; pattern=irregular,LS,0.1250,30,0,CDL-A,irregular,0.87510560,0.43755280,0.50923464,0.87510560,0.0141,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=0; pattern=irregular,Enhanced-DnCNN,0.1250,30,0,CDL-A,irregular,0.87496702,0.43748351,0.50923751,0.87496702,0.2508,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec,0.1250,30,0,CDL-A,irregular,0.86352856,0.43176428,0.50842121,0.86352856,0.4527,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec-physics,0.1250,30,0,CDL-A,irregular,0.85926501,0.42963251,0.50684109,0.85926501,0.4489,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=60; pattern=irregular,LS,0.1250,30,60,CDL-A,irregular,0.87537591,0.43768796,0.50931717,0.87537591,0.0158,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=60; pattern=irregular,Enhanced-DnCNN,0.1250,30,60,CDL-A,irregular,0.87525319,0.43762659,0.50932792,0.87525319,0.2473,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec,0.1250,30,60,CDL-A,irregular,0.86589547,0.43294773,0.50881618,0.86589547,0.4524,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec-physics,0.1250,30,60,CDL-A,irregular,0.87150037,0.43575019,0.51068918,0.87150037,0.4570,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=120; pattern=irregular,LS,0.1250,30,120,CDL-A,irregular,0.87574060,0.43787030,0.50958852,0.31903115,0.0142,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=120; pattern=irregular,Enhanced-DnCNN,0.1250,30,120,CDL-A,irregular,0.87547629,0.43773814,0.50953613,0.31893478,0.2457,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec,0.1250,30,120,CDL-A,irregular,0.85736866,0.42868433,0.50661205,0.31233715,0.4525,stage4,reused
robustness,pilot=0.1250; snr=30; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec-physics,0.1250,30,120,CDL-A,irregular,0.86460389,0.43230195,0.50838472,0.31497397,0.4536,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=0; pattern=block,LS,0.0625,0,0,CDL-A,block,0.99907972,0.49953986,0.57799414,0.99907972,0.0166,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=0; pattern=block,Enhanced-DnCNN,0.0625,0,0,CDL-A,block,0.99888735,0.49944367,0.57794029,0.99888735,0.2396,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec,0.0625,0,0,CDL-A,block,0.97411920,0.48705960,0.56987536,0.97411920,0.4517,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec-physics,0.0625,0,0,CDL-A,block,0.98628442,0.49314221,0.57415949,0.98628442,0.4620,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=60; pattern=block,LS,0.0625,0,60,CDL-A,block,0.99908234,0.49954117,0.57799760,0.99908234,0.0178,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=60; pattern=block,Enhanced-DnCNN,0.0625,0,60,CDL-A,block,0.99880788,0.49940394,0.57792075,0.99880788,0.2436,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec,0.0625,0,60,CDL-A,block,0.97942044,0.48971022,0.57189858,0.97942044,0.4540,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec-physics,0.0625,0,60,CDL-A,block,0.98394261,0.49197131,0.57343619,0.98394261,0.4503,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=120; pattern=block,LS,0.0625,0,120,CDL-A,block,0.99908465,0.49954233,0.57808754,0.36396676,0.0139,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=120; pattern=block,Enhanced-DnCNN,0.0625,0,120,CDL-A,block,0.99897887,0.49948943,0.57805219,0.36392821,0.2483,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec,0.0625,0,120,CDL-A,block,0.98110919,0.49055459,0.57255860,0.35741761,0.4624,stage4,reused
robustness,pilot=0.0625; snr=0; profile=CDL-A; velocity=120; pattern=block,PICASSO-rec-physics,0.0625,0,120,CDL-A,block,0.98055981,0.49027991,0.57243879,0.35721897,0.4545,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=0; pattern=block,LS,0.0625,10,0,CDL-A,block,0.94324517,0.47162259,0.55405830,0.94324517,0.0153,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=0; pattern=block,Enhanced-DnCNN,0.0625,10,0,CDL-A,block,0.94334437,0.47167218,0.55408269,0.94334437,0.2603,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec,0.0625,10,0,CDL-A,block,0.94307025,0.47153512,0.55405249,0.94307025,0.4680,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=0; pattern=block,PICASSO-rec-physics,0.0625,10,0,CDL-A,block,0.94379824,0.47189912,0.55428937,0.94379824,0.4656,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=60; pattern=block,LS,0.0625,10,60,CDL-A,block,0.94325343,0.47162671,0.55406167,0.94325343,0.0185,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=60; pattern=block,Enhanced-DnCNN,0.0625,10,60,CDL-A,block,0.94328091,0.47164045,0.55407105,0.94328091,0.2427,stage4,reused
robustness,pilot=0.0625; snr=10; profile=CDL-A; velocity=60; pattern=block,PICASSO-rec,0.0625,10,60,CDL-A,block,0.94304490,0.47152245,0.55402038,0.94304490,0.4546,stage4,reused
