ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
gan,pilot=0.1250; snr=10,conditioned feature-level GAN (Stage 3B),0.1250,10,0,synthetic,comb,0.88273588,0.44136794,0.51541224,,0.8738,stage3b,reused
gan,pilot=0.1250; snr=20,no GAN (Stage 3B),0.1250,20,0,synthetic,comb,0.86917606,0.43458803,0.50051174,,0.4433,stage3b,reused
gan,pilot=0.1250; snr=20,feature-level GAN (Stage 3B),0.1250,20,0,synthetic,comb,0.86740668,0.43370334,0.49958082,,0.8582,stage3b,reused
gan,pilot=0.1250; snr=20,conditioned feature-level GAN (Stage 3B),0.1250,20,0,synthetic,comb,0.87229364,0.43614682,0.50090609,,0.8861,stage3b,reused
gan,pilot=0.1250; snr=30,no GAN (Stage 3B),0.1250,30,0,synthetic,comb,0.86618882,0.43309441,0.49540215,,0.4416,stage3b,reused
gan,pilot=0.1250; snr=30,feature-level GAN (Stage 3B),0.1250,30,0,synthetic,comb,0.86939807,0.43469904,0.49600997,,0.8588,stage3b,reused
gan,pilot=0.1250; snr=30,conditioned feature-level GAN (Stage 3B),0.1250,30,0,synthetic,comb,0.87293673,0.43646836,0.49686915,,0.8758,stage3b,reused
gan,pilot=0.0625; snr=10,no GAN (Stage 3B),0.0625,10,0,synthetic,comb,0.94075546,0.47037773,0.54027307,,0.4459,stage3b,reused
gan,pilot=0.0625; snr=10,feature-level GAN (Stage 3B),0.0625,10,0,synthetic,comb,0.93915966,0.46957983,0.53975035,,0.8583,stage3b,reused
gan,pilot=0.0625; snr=10,conditioned feature-level GAN (Stage 3B),0.0625,10,0,synthetic,comb,0.94213574,0.47106787,0.54066020,,0.8827,stage3b,reused
gan,pilot=0.0625; snr=20,no GAN (Stage 3B),0.0625,20,0,synthetic,comb,0.93720211,0.46860106,0.53380945,,0.4459,stage3b,reused
gan,pilot=0.0625; snr=20,feature-level GAN (Stage 3B),0.0625,20,0,synthetic,comb,0.93624094,0.46812047,0.53328690,,0.8536,stage3b,reused
gan,pilot=0.0625; snr=20,conditioned feature-level GAN (Stage 3B),0.0625,20,0,synthetic,comb,0.93648754,0.46824377,0.53325225,,0.8754,stage3b,reused
gan,pilot=0.0625; snr=30,no GAN (Stage 3B),0.0625,30,0,synthetic,comb,0.93402056,0.46701028,0.53087778,,0.4466,stage3b,reused
gan,pilot=0.0625; snr=30,feature-level GAN (Stage 3B),0.0625,30,0,synthetic,comb,0.93663146,0.46831573,0.53128041,,0.8537,stage3b,reused
gan,pilot=0.0625; snr=30,conditioned feature-level GAN (Stage 3B),0.0625,30,0,synthetic,comb,0.93730359,0.46865179,0.53151514,,0.8727,stage3b,reused
gan,pilot=0.2500; snr=10,no GAN (Stage 2BC),0.2500,10,0,synthetic,comb,0.76216108,0.38108054,0.46418333,,0.3157,stage2bc,reused
gan,pilot=0.2500; snr=10,light adversarial loss (Stage 2BC),0.2500,10,0,synthetic,comb,0.76372735,0.38186368,0.46470723,,0.3585,stage2bc,reused
gan,pilot=0.2500; snr=10,output-level GAN (Stage 2BC),0.2500,10,0,synthetic,comb,0.75612095,0.37806047,0.46192820,,0.4809,stage2bc,reused
gan,pilot=0.2500; snr=20,no GAN (Stage 2BC),0.2500,20,0,synthetic,comb,0.76030709,0.38015354,0.44384971,,0.2155,stage2bc,reused
gan,pilot=0.2500; snr=20,light adversarial loss (Stage 2BC),0.2500,20,0,synthetic,comb,0.75006498,0.37503249,0.43884890,,0.3311,stage2bc,reused
gan,pilot=0.2500; snr=20,output-level GAN (Stage 2BC),0.2500,20,0,synthetic,comb,0.73790419,0.36895210,0.43491181,,0.4841,stage2bc,reused
gan,pilot=0.1250; snr=10,no GAN (Stage 2BC),0.1250,10,0,synthetic,comb,0.88028525,0.44014262,0.51458202,,0.2187,stage2bc,reused
