stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,loss_mode,use_attention,use_condition,feature_discriminator,runtime_seconds
stage3b_incremental,42,PICASSO-rec-enhanced,0.1250,10,0.87423843,0.43711922,0.51249251,0.00701606,0.41986027,3,rec_only,False,False,False,0.6252
stage3b_incremental,42,PICASSO-rec-attn,0.1250,10,0.87499282,0.43749641,0.51274885,0.00723385,0.39982658,3,rec_only,True,False,False,0.6317
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.1250,10,0.87732197,0.43866099,0.51345293,0.00420985,0.37732896,3,rec_physics,True,False,False,0.6309
stage3b_incremental,42,PICASSO-full-feature,0.1250,10,0.87817687,0.43908843,0.51374893,0.00377461,0.36774936,3,full,True,False,True,0.8589
stage3b_incremental,42,PICASSO-cond-full-feature,0.1250,10,0.88454495,0.44227248,0.51579522,0.00126137,0.33898959,3,full,True,True,True,0.8748
stage3b_incremental,42,LS,0.1250,20,0.87590462,0.43795231,0.50163157,0.00000000,0.34143147,0,,False,False,False,0.0108
stage3b_incremental,42,DnCNN,0.1250,20,0.87541130,0.43770565,0.50151873,0.00004058,0.34379410,3,,False,False,False,0.0807
stage3b_incremental,42,Enhanced-DnCNN,0.1250,20,0.87587816,0.43793908,0.50163874,0.00003364,0.34233286,3,,False,False,False,0.2325
stage3b_incremental,42,PICASSO-rec-base,0.1250,20,0.87038919,0.43519460,0.50059934,0.00107002,0.37349478,3,rec_only,False,False,False,0.4456
stage3b_incremental,42,PICASSO-rec-enhanced,0.1250,20,0.87245613,0.43622807,0.50132780,0.00125004,0.36294890,3,rec_only,False,False,False,0.6266
stage3b_incremental,42,PICASSO-rec-attn,0.1250,20,0.86910886,0.43455443,0.49982981,0.00043349,0.37095664,3,rec_only,True,False,False,0.6354
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.1250,20,0.86708060,0.43354030,0.49918096,0.00044967,0.38662779,3,rec_physics,True,False,False,0.6293
stage3b_incremental,42,PICASSO-full-feature,0.1250,20,0.87342517,0.43671259,0.50115827,0.00050645,0.35469892,3,full,True,False,True,0.8569
stage3b_incremental,42,PICASSO-cond-full-feature,0.1250,20,0.87348819,0.43674409,0.50115041,0.00048624,0.35322209,3,full,True,True,True,0.8792
stage3b_incremental,42,LS,0.1250,30,0.87476276,0.43738138,0.49676286,0.00000000,0.34348421,0,,False,False,False,0.0091
stage3b_incremental,42,DnCNN,0.1250,30,0.87539348,0.43769674,0.49764545,0.00036771,0.34552751,3,,False,False,False,0.1140
stage3b_incremental,42,Enhanced-DnCNN,0.1250,30,0.87460311,0.43730155,0.49677546,0.00002516,0.34416464,3,,False,False,False,0.2373
stage3b_incremental,42,PICASSO-rec-base,0.1250,30,0.86738470,0.43369235,0.49553554,0.00060354,0.38138176,3,rec_only,False,False,False,0.4430
stage3b_incremental,42,PICASSO-rec-enhanced,0.1250,30,0.87152541,0.43576270,0.49759869,0.00125310,0.36664440,3,rec_only,False,False,False,0.6229
stage3b_incremental,42,PICASSO-rec-attn,0.1250,30,0.87175283,0.43587641,0.49660373,0.00038618,0.35877192,3,rec_only,True,False,False,0.6806
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.1250,30,0.87008306,0.43504153,0.49594934,0.00028281,0.36576596,3,rec_physics,True,False,False,0.6339
stage3b_incremental,42,PICASSO-full-feature,0.1250,30,0.86952963,0.43476482,0.49573229,0.00027707,0.36837837,3,full,True,False,True,0.8510
stage3b_incremental,42,PICASSO-cond-full-feature,0.1250,30,0.87200382,0.43600191,0.49670215,0.00041420,0.35745722,3,full,True,True,True,0.8816
stage3b_incremental,42,LS,0.0625,10,0.94385612,0.47192806,0.54113945,0.00000000,0.20937253,0,,False,False,False,0.0093
stage3b_incremental,42,DnCNN,0.0625,10,0.94383657,0.47191828,0.54113884,0.00007545,0.21504042,3,,False,False,False,0.0778
stage3b_incremental,42,Enhanced-DnCNN,0.0625,10,0.94396754,0.47198377,0.54116924,0.00017408,0.21422144,3,,False,False,False,0.2350
stage3b_incremental,42,PICASSO-rec-base,0.0625,10,0.94211984,0.47105992,0.54045892,0.00367459,0.25061321,3,rec_only,False,False,False,0.4443
stage3b_incremental,42,PICASSO-rec-enhanced,0.0625,10,0.93983360,0.46991680,0.53973915,0.00720640,0.28800578,3,rec_only,False,False,False,0.6221
stage3b_incremental,42,PICASSO-rec-attn,0.0625,10,0.94047748,0.47023874,0.53985490,0.00492427,0.25678220,3,rec_only,True,False,False,0.6345
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.0625,10,0.94031933,0.47015966,0.53980747,0.00391309,0.25834826,3,rec_physics,True,False,False,0.6286
stage3b_incremental,42,PICASSO-full-feature,0.0625,10,0.93899222,0.46949611,0.53937744,0.00405794,0.28637008,3,full,True,False,True,0.8606
stage3b_incremental,42,PICASSO-cond-full-feature,0.0625,10,0.94169362,0.47084681,0.54022154,0.00255727,0.23989745,3,full,True,True,True,0.8730
stage3b_incremental,42,LS,0.0625,20,0.93820453,0.46910226,0.53347033,0.00000000,0.21247579,0,,False,False,False,0.0110
stage3b_incremental,42,DnCNN,0.0625,20,0.93796164,0.46898082,0.53341646,0.00005820,0.21788430,3,,False,False,False,0.1305
stage3b_incremental,42,Enhanced-DnCNN,0.0625,20,0.93825673,0.46912836,0.53350945,0.00006004,0.21629042,3,,False,False,False,0.2343
stage3b_incremental,42,PICASSO-rec-base,0.0625,20,0.93478698,0.46739349,0.53271465,0.00098832,0.27412066,3,rec_only,False,False,False,0.4450
stage3b_incremental,42,PICASSO-rec-enhanced,0.0625,20,0.93771416,0.46885708,0.53372763,0.00141524,0.24943578,3,rec_only,False,False,False,0.6207
stage3b_incremental,42,PICASSO-rec-attn,0.0625,20,0.93594797,0.46797398,0.53287940,0.00043315,0.24922562,3,rec_only,True,False,False,0.6286
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.0625,20,0.93722668,0.46861334,0.53325996,0.00045057,0.23201853,3,rec_physics,True,False,False,0.6346
stage3b_incremental,42,PICASSO-full-feature,0.0625,20,0.93629830,0.46814915,0.53303580,0.00056173,0.24723447,3,full,True,False,True,0.8621
stage3b_incremental,42,PICASSO-cond-full-feature,0.0625,20,0.93733491,0.46866746,0.53333902,0.00042897,0.23630430,3,full,True,True,True,0.8827
stage3b_incremental,42,LS,0.0625,30,0.93763939,0.46881969,0.53104517,0.00000000,0.21268972,0,,False,False,False,0.0092
stage3b_incremental,42,DnCNN,0.0625,30,0.93845640,0.46922820,0.53179139,0.00063424,0.22847790,3,,False,False,False,0.0821
stage3b_incremental,42,Enhanced-DnCNN,0.0625,30,0.93765393,0.46882696,0.53111209,0.00005941,0.21490984,3,,False,False,False,0.2331
stage3b_incremental,42,PICASSO-rec-base,0.0625,30,0.93620361,0.46810181,0.53165255,0.00148189,0.25370399,3,rec_only,False,False,False,0.4450
stage3b_incremental,42,PICASSO-rec-enhanced,0.0625,30,0.93522219,0.46761110,0.53088938,0.00067701,0.25759747,3,rec_only,False,False,False,0.6274
stage3b_incremental,42,PICASSO-rec-attn,0.0625,30,0.93617390,0.46808695,0.53088908,0.00029694,0.23641307,3,rec_only,True,False,False,0.6332
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.0625,30,0.93524542,0.46762271,0.53060761,0.00027352,0.24906483,3,rec_physics,True,False,False,0.6311
