stage,method,profile,pilot_pattern,seed,pilot_ratio,snr_db,velocity_kmh,nmse,mse,mae,pilot_consistency_error,delay_domain_sparsity_score,doppler_robustness_metric,runtime_seconds
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,10,0,1.58543697,0.79271848,0.66232023,0.00000000,0.74918438,1.58543697,1.6142
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,10,0,0.77502692,0.38751346,0.47904982,0.00002723,0.56320995,0.77502692,0.2396
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,10,0,0.77672254,0.38836127,0.48026758,0.00700165,0.55827586,0.77672254,0.4559
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,10,0,0.77580497,0.38790248,0.47955201,0.00571975,0.55819608,0.77580497,0.4598
stage4_cdl,LS,CDL-A,block,42,0.2500,10,60,0.77509667,0.38754833,0.47906639,0.00000000,0.56303367,0.77509667,0.0152
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,10,60,1.58973977,0.79486988,0.66308399,0.00000000,0.74910222,1.58973977,1.6158
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,10,60,0.77513145,0.38756572,0.47907572,0.00004213,0.56293115,0.77513145,0.2590
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,10,60,0.77429220,0.38714610,0.47855970,0.00765263,0.56884198,0.77429220,0.4648
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,10,60,0.77559592,0.38779796,0.47928425,0.00732027,0.55947484,0.77559592,0.4628
stage4_cdl,LS,CDL-A,block,42,0.2500,10,120,0.77526021,0.38763011,0.47915687,0.00000000,0.56283744,0.28243419,0.0139
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,10,120,1.59173921,0.79586960,0.66390038,0.00000000,0.74981666,0.57983094,1.6216
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,10,120,0.77518657,0.38759328,0.47908840,0.00001429,0.56291147,0.28240743,0.2462
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,10,120,0.77428631,0.38714316,0.47852874,0.00783443,0.56684841,0.28207930,0.4583
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,10,120,0.77557388,0.38778694,0.47934669,0.00712315,0.56072584,0.28254789,0.4587
stage4_cdl,LS,CDL-A,block,42,0.2500,30,0,0.75031969,0.37515984,0.43909688,0.00000000,0.60360098,0.75031969,0.0142
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,30,0,1.48975292,0.74487646,0.60885586,0.00000000,0.75677669,1.48975292,1.7100
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,30,0,0.75033075,0.37516537,0.43913472,0.00000931,0.60357074,0.75033075,0.2366
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,30,0,0.75190622,0.37595311,0.44571493,0.00261550,0.60088383,0.75190622,0.4489
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,30,0,0.75213023,0.37606511,0.44697620,0.00345842,0.60005151,0.75213023,0.4474
stage4_cdl,LS,CDL-A,block,42,0.2500,30,60,0.75045034,0.37522517,0.43914253,0.00000000,0.60345908,0.75045034,0.0152
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,30,60,1.49149591,0.74574795,0.60922107,0.00000000,0.75691956,1.49149591,1.6760
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,30,60,0.75053041,0.37526520,0.43956021,0.00009792,0.60321456,0.75053041,0.2495
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,30,60,0.75239664,0.37619832,0.44705710,0.00341814,0.60050030,0.75239664,0.4648
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,30,60,0.75328843,0.37664422,0.44851728,0.00432770,0.59741183,0.75328843,0.4533
stage4_cdl,LS,CDL-A,block,42,0.2500,30,120,0.75063498,0.37531749,0.43924971,0.00000000,0.60328738,0.27346300,0.0185
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,30,120,1.49260172,0.74630086,0.60960251,0.00000000,0.75696641,0.54371117,1.6210
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,30,120,0.75065453,0.37532727,0.43931344,0.00001510,0.60324207,0.27347007,0.2582
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,30,120,0.75233918,0.37616959,0.44643871,0.00300063,0.60079448,0.27408407,0.4554
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,30,120,0.75310236,0.37655118,0.44754811,0.00364787,0.59866583,0.27436218,0.4523
stage4_cdl,LS,CDL-A,irregular,42,0.1250,0,0,0.99876271,0.49938136,0.57709734,0.00000000,0.28346652,0.99876271,0.0144
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,0,0,2.69696969,1.34848484,0.91909117,0.00000000,0.81140128,2.69696969,1.6117
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,0,0,0.99815904,0.49907952,0.57691745,0.00003815,0.28353448,0.99815904,0.2539
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,0,0,0.93036512,0.46518256,0.55457497,0.21158256,0.37564585,0.93036512,0.4517
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,0,0,0.94782117,0.47391059,0.56117603,0.05145462,0.31390072,0.94782117,0.4502
stage4_cdl,LS,CDL-A,irregular,42,0.1250,0,60,0.99877144,0.49938572,0.57710703,0.00000000,0.28330897,0.99877144,0.0132
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,0,60,2.70892787,1.35446393,0.92104818,0.00000000,0.81190357,2.70892787,1.7438
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,0,60,0.99804541,0.49902271,0.57689558,0.00001166,0.28338587,0.99804541,0.2467
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,0,60,0.94679724,0.47339862,0.56048580,0.08598112,0.30713359,0.94679724,0.4615
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,0,60,0.95342201,0.47671100,0.56301504,0.04174788,0.30610619,0.95342201,0.4515
stage4_cdl,LS,CDL-A,irregular,42,0.1250,0,120,0.99877788,0.49938894,0.57727805,0.00000000,0.28369471,0.36386126,0.0170
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,0,120,2.71132004,1.35566002,0.92129624,0.00000000,0.81092443,0.98776747,1.6533
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,0,120,0.99724630,0.49862315,0.57683665,0.00004643,0.28385723,0.36330293,0.2463
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,0,120,0.93308191,0.46654096,0.55560254,0.17060411,0.35646807,0.33991902,0.4525
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,0,120,0.95409033,0.47704516,0.56332432,0.04458820,0.29834923,0.34757733,0.4472
stage4_cdl,LS,CDL-A,irregular,42,0.1250,10,0,0.88735962,0.44367981,0.52914497,0.00000000,0.29535405,0.88735962,0.0147
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,10,0,1.86755580,0.93377790,0.74623999,0.00000000,0.81278518,1.86755580,1.6506
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,10,0,0.88730550,0.44365275,0.52912168,0.00005369,0.29548943,0.88730550,0.2399
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,10,0,0.85961492,0.42980746,0.52044994,0.01441615,0.39821021,0.85961492,0.4548
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,10,0,0.86927138,0.43463569,0.52332970,0.00779440,0.34191801,0.86927138,0.4589
stage4_cdl,LS,CDL-A,irregular,42,0.1250,10,60,0.88760397,0.44380198,0.52920607,0.00000000,0.29522968,0.88760397,0.0182
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,10,60,1.87005085,0.93502542,0.74675506,0.00000000,0.81212859,1.87005085,1.6154
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,10,60,0.88743077,0.44371539,0.52914681,0.00002673,0.29541838,0.88743077,0.2474
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,10,60,0.86898398,0.43449199,0.52327351,0.00882059,0.34948073,0.86898398,0.4650
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,10,60,0.87185332,0.43592666,0.52405620,0.00721423,0.33064337,0.87185332,0.4450
stage4_cdl,LS,CDL-A,irregular,42,0.1250,10,120,0.88793319,0.44396660,0.52944788,0.00000000,0.29530311,0.32347366,0.0185
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,10,120,1.86945698,0.93472849,0.74644648,0.00000000,0.81169698,0.68101132,1.5249
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,10,120,0.88773477,0.44386739,0.52938807,0.00001618,0.29545507,0.32340120,0.2435
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,10,120,0.87084210,0.43542105,0.52401631,0.00795470,0.33705568,0.31724241,0.4628
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,10,120,0.86558680,0.43279340,0.52221207,0.00809513,0.35682195,0.31532858,0.4480
stage4_cdl,LS,CDL-A,irregular,42,0.1250,30,0,0.87510560,0.43755280,0.50923464,0.00000000,0.29887144,0.87510560,0.0141
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,30,0,1.77838597,0.88919298,0.71176399,0.00000000,0.81243129,1.77838597,1.6034
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,30,0,0.87496702,0.43748351,0.50923751,0.00002049,0.29900281,0.87496702,0.2508
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,30,0,0.86352856,0.43176428,0.50842121,0.00268835,0.32278311,0.86352856,0.4527
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,30,0,0.85926501,0.42963251,0.50684109,0.00239052,0.33153185,0.85926501,0.4489
stage4_cdl,LS,CDL-A,irregular,42,0.1250,30,60,0.87537591,0.43768796,0.50931717,0.00000000,0.29886591,0.87537591,0.0158
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,30,60,1.77639863,0.88819931,0.71128114,0.00000000,0.81216832,1.77639863,1.5483
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,30,60,0.87525319,0.43762659,0.50932792,0.00002216,0.29900704,0.87525319,0.2473
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,30,60,0.86589547,0.43294773,0.50881618,0.00228418,0.31673174,0.86589547,0.4524
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,30,60,0.87150037,0.43575019,0.51068918,0.00211416,0.30644652,0.87150037,0.4570
stage4_cdl,LS,CDL-A,irregular,42,0.1250,30,120,0.87574060,0.43787030,0.50958852,0.00000000,0.29881353,0.31903115,0.0142
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.1250,30,120,1.77382031,0.88691016,0.71050194,0.00000000,0.81216139,0.64616790,1.5937
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.1250,30,120,0.87547629,0.43773814,0.50953613,0.00001092,0.29899310,0.31893478,0.2457
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.1250,30,120,0.85736866,0.42868433,0.50661205,0.00309104,0.34168997,0.31233715,0.4525
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.1250,30,120,0.86460389,0.43230195,0.50838472,0.00197047,0.31788999,0.31497397,0.4536
stage4_cdl,LS,CDL-A,block,42,0.0625,0,0,0.99907972,0.49953986,0.57799414,0.00000000,0.24452519,0.99907972,0.0166
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,0,0,2.85631871,1.42815936,0.95267674,0.00000000,0.91197640,2.85631871,1.8613
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,0,0,0.99888735,0.49944367,0.57794029,0.00001642,0.24457959,0.99888735,0.2396
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,0,0,0.97411920,0.48705960,0.56987536,0.12517103,0.25963404,0.97411920,0.4517
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,0,0,0.98628442,0.49314221,0.57415949,0.02658365,0.24776644,0.98628442,0.4620
stage4_cdl,LS,CDL-A,block,42,0.0625,0,60,0.99908234,0.49954117,0.57799760,0.00000000,0.24421127,0.99908234,0.0178
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,0,60,2.84265089,1.42132545,0.94986452,0.00000000,0.91030246,2.84265089,1.6275
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,0,60,0.99880788,0.49940394,0.57792075,0.00001695,0.24425754,0.99880788,0.2436
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,0,60,0.97942044,0.48971022,0.57189858,0.06872444,0.25424854,0.97942044,0.4540
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,0,60,0.98394261,0.49197131,0.57343619,0.03831130,0.25267949,0.98394261,0.4503
stage4_cdl,LS,CDL-A,block,42,0.0625,0,120,0.99908465,0.49954233,0.57808754,0.00000000,0.24422348,0.36396676,0.0139
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,0,120,2.84590167,1.42295083,0.95110551,0.00000000,0.91064298,1.03666341,1.7319
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,0,120,0.99897887,0.49948943,0.57805219,0.00004582,0.24432997,0.36392821,0.2483
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,0,120,0.98110919,0.49055459,0.57255860,0.07157506,0.25061681,0.35741761,0.4624
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,0,120,0.98055981,0.49027991,0.57243879,0.04642235,0.24945418,0.35721897,0.4545
stage4_cdl,LS,CDL-A,block,42,0.0625,10,0,0.94324517,0.47162259,0.55405830,0.00000000,0.28140124,0.94324517,0.0153
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,10,0,1.94972140,0.97486070,0.78167556,0.00000000,0.91218081,1.94972140,1.6927
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,10,0,0.94334437,0.47167218,0.55408269,0.00009429,0.28134286,0.94334437,0.2603
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,10,0,0.94307025,0.47153512,0.55405249,0.00742369,0.28816548,0.94307025,0.4680
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,10,0,0.94379824,0.47189912,0.55428937,0.00584402,0.28317660,0.94379824,0.4656
stage4_cdl,LS,CDL-A,block,42,0.0625,10,60,0.94325343,0.47162671,0.55406167,0.00000000,0.28224837,0.94325343,0.0185
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,10,60,1.94530639,0.97265320,0.78049283,0.00000000,0.91164936,1.94530639,1.5808
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,10,60,0.94328091,0.47164045,0.55407105,0.00001898,0.28223740,0.94328091,0.2427
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,10,60,0.94304490,0.47152245,0.55402038,0.00666357,0.28712761,0.94304490,0.4546
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,10,60,0.94334614,0.47167307,0.55413723,0.00632345,0.28473080,0.94334614,0.4469
stage4_cdl,LS,CDL-A,block,42,0.0625,10,120,0.94329749,0.47164875,0.55416019,0.00000000,0.28303067,0.34364165,0.0161
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,10,120,1.94626859,0.97313429,0.78091358,0.00000000,0.91183421,0.70897169,1.6616
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,10,120,0.94333529,0.47166765,0.55417039,0.00001784,0.28309546,0.34365541,0.2426
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,10,120,0.94302216,0.47151108,0.55415389,0.00603388,0.28832304,0.34354120,0.4583
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.0625,10,120,0.94239599,0.47119799,0.55376051,0.00681116,0.28916669,0.34331325,0.4570
stage4_cdl,LS,CDL-A,block,42,0.0625,30,0,0.93710141,0.46855070,0.54411966,0.00000000,0.29378435,0.93710141,0.0131
stage4_cdl,LMMSE-like,CDL-A,block,42,0.0625,30,0,1.85035053,0.92517526,0.75395629,0.00000000,0.91289409,1.85035053,2.0223
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.0625,30,0,0.93711482,0.46855741,0.54413199,0.00001493,0.29375344,0.93711482,0.2525
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.0625,30,0,0.93727985,0.46863993,0.54595406,0.00336511,0.29740585,0.93727985,0.4572
