ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
loss,PICASSO-rec + energy preservation,CDL-C,123,0.1250,10,60,comb,0.86996190,0.43498095,0.51833282,0.00455193,0.86996190,4.0886,445506,0.00056287,neutral
loss,PICASSO-rec + pilot + frequency,CDL-C,123,0.1250,10,60,comb,0.86933443,0.43466721,0.51824395,0.00196576,0.86933443,4.1221,445506,-0.00006460,neutral
loss,PICASSO-rec + pilot + delay,CDL-C,123,0.1250,10,60,comb,0.86913966,0.43456983,0.51815470,0.00247758,0.86913966,4.0989,445506,-0.00025937,neutral
loss,PICASSO-rec-full physics,CDL-C,123,0.1250,10,60,comb,0.86765561,0.43382780,0.51779550,0.00283110,0.86765561,4.0578,445506,-0.00174342,positive
loss,PICASSO-rec only,CDL-C,2026,0.1250,10,60,comb,0.86385630,0.43192815,0.51613636,0.00531129,0.86385630,4.0743,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-C,2026,0.1250,10,60,comb,0.86398932,0.43199466,0.51624615,0.00244339,0.86398932,4.0545,445506,0.00013302,neutral
loss,PICASSO-rec + frequency consistency,CDL-C,2026,0.1250,10,60,comb,0.86389346,0.43194673,0.51615655,0.00427970,0.86389346,4.0663,445506,0.00003716,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-C,2026,0.1250,10,60,comb,0.86377466,0.43188733,0.51611850,0.00566517,0.86377466,4.0536,445506,-0.00008164,neutral
loss,PICASSO-rec + energy preservation,CDL-C,2026,0.1250,10,60,comb,0.86439951,0.43219975,0.51624814,0.00468087,0.86439951,4.0618,445506,0.00054321,neutral
loss,PICASSO-rec + pilot + frequency,CDL-C,2026,0.1250,10,60,comb,0.86396900,0.43198450,0.51625167,0.00206528,0.86396900,4.0576,445506,0.00011270,neutral
loss,PICASSO-rec + pilot + delay,CDL-C,2026,0.1250,10,60,comb,0.86380084,0.43190042,0.51617257,0.00257274,0.86380084,4.0605,445506,-0.00005546,neutral
loss,PICASSO-rec-full physics,CDL-C,2026,0.1250,10,60,comb,0.86318336,0.43159168,0.51607746,0.00291813,0.86318336,4.1018,445506,-0.00067294,neutral
