ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
channel,pilot=0.0625; snr=20,DnCNN,0.0625,20,0,noisy random-path synthetic OFDM,comb,0.93810482,0.46905241,0.53372499,,0.0868,stage2bc,reused
channel,pilot=0.0625; snr=20,Enhanced-DnCNN,0.0625,20,0,noisy random-path synthetic OFDM,comb,0.93809149,0.46904574,0.53367355,,0.2298,stage2bc,reused
channel,pilot=0.0625; snr=20,PICASSO-rec,0.0625,20,0,noisy random-path synthetic OFDM,comb,0.93486609,0.46743304,0.53309442,,0.2142,stage2bc,reused
channel,pilot=0.0625; snr=20,PICASSO-rec-physics,0.0625,20,0,noisy random-path synthetic OFDM,comb,0.93705985,0.46852992,0.53380603,,0.2133,stage2bc,reused
channel,pilot=0.5000; snr=10,LS,0.5000,10,0,noisy synthetic OFDM,comb,0.55026725,0.27586140,0.37142722,,,stage2a,reused
channel,pilot=0.5000; snr=10,DnCNN,0.5000,10,0,noisy synthetic OFDM,comb,0.54635031,0.27389703,0.36794446,,,stage2a,reused
channel,pilot=0.5000; snr=10,PICASSO,0.5000,10,0,noisy synthetic OFDM,comb,0.55971084,0.28058166,0.37200814,,,stage2a,reused
channel,pilot=0.5000; snr=20,LS,0.5000,20,0,noisy synthetic OFDM,comb,0.50538559,0.25336373,0.31054609,,,stage2a,reused
channel,pilot=0.5000; snr=20,DnCNN,0.5000,20,0,noisy synthetic OFDM,comb,0.50528278,0.25331177,0.31054704,,,stage2a,reused
channel,pilot=0.5000; snr=20,PICASSO,0.5000,20,0,noisy synthetic OFDM,comb,0.52006278,0.26070453,0.31624798,,,stage2a,reused
channel,pilot=0.5000; snr=30,LS,0.5000,30,0,noisy synthetic OFDM,comb,0.50089742,0.25111397,0.29129379,,,stage2a,reused
channel,pilot=0.5000; snr=30,DnCNN,0.5000,30,0,noisy synthetic OFDM,comb,0.50088713,0.25110899,0.29163783,,,stage2a,reused
channel,pilot=0.5000; snr=30,PICASSO,0.5000,30,0,noisy synthetic OFDM,comb,0.50369867,0.25251305,0.29631241,,,stage2a,reused
channel,pilot=0.2500; snr=10,LS,0.2500,10,0,noisy synthetic OFDM,comb,0.77439379,0.38820980,0.46797642,,,stage2a,reused
channel,pilot=0.2500; snr=10,DnCNN,0.2500,10,0,noisy synthetic OFDM,comb,0.77283687,0.38742833,0.46653188,,,stage2a,reused
channel,pilot=0.2500; snr=10,PICASSO,0.2500,10,0,noisy synthetic OFDM,comb,0.78140076,0.39171028,0.46873498,,,stage2a,reused
channel,pilot=0.2500; snr=20,LS,0.2500,20,0,noisy synthetic OFDM,comb,0.75189354,0.37693102,0.43748352,,,stage2a,reused
channel,pilot=0.2500; snr=20,DnCNN,0.2500,20,0,noisy synthetic OFDM,comb,0.75198688,0.37697818,0.43753900,,,stage2a,reused
channel,pilot=0.2500; snr=20,PICASSO,0.2500,20,0,noisy synthetic OFDM,comb,0.75990725,0.38093498,0.44003512,,,stage2a,reused
channel,pilot=0.2500; snr=30,LS,0.2500,30,0,noisy synthetic OFDM,comb,0.74964351,0.37580314,0.42784082,,,stage2a,reused
channel,pilot=0.2500; snr=30,DnCNN,0.2500,30,0,noisy synthetic OFDM,comb,0.74968228,0.37582270,0.42794498,,,stage2a,reused
channel,pilot=0.2500; snr=30,PICASSO,0.2500,30,0,noisy synthetic OFDM,comb,0.75771204,0.37983777,0.43074352,,,stage2a,reused
channel,pilot=0.1250; snr=10,LS,0.1250,10,0,noisy synthetic OFDM,comb,0.88764837,0.44497694,0.51646646,,,stage2a,reused
channel,pilot=0.1250; snr=10,DnCNN,0.1250,10,0,noisy synthetic OFDM,comb,0.88718319,0.44474345,0.51600949,,,stage2a,reused
channel,pilot=0.1250; snr=10,PICASSO,0.1250,10,0,noisy synthetic OFDM,comb,0.89132915,0.44681922,0.51684039,,,stage2a,reused
channel,pilot=0.1250; snr=20,LS,0.1250,20,0,noisy synthetic OFDM,comb,0.87649657,0.43938627,0.50129487,,,stage2a,reused
channel,pilot=0.1250; snr=20,DnCNN,0.1250,20,0,noisy synthetic OFDM,comb,0.87660472,0.43944057,0.50135941,,,stage2a,reused
channel,pilot=0.1250; snr=20,PICASSO,0.1250,20,0,noisy synthetic OFDM,comb,0.88008198,0.44117794,0.50255882,,,stage2a,reused
channel,pilot=0.1250; snr=30,LS,0.1250,30,0,noisy synthetic OFDM,comb,0.87538141,0.43882721,0.49649721,,,stage2a,reused
channel,pilot=0.1250; snr=30,DnCNN,0.1250,30,0,noisy synthetic OFDM,comb,0.87542015,0.43884659,0.49659583,,,stage2a,reused
channel,pilot=0.1250; snr=30,PICASSO,0.1250,30,0,noisy synthetic OFDM,comb,0.87947374,0.44087725,0.49812893,,,stage2a,reused
channel,pilot=0.0625; snr=10,LS,0.0625,10,0,noisy synthetic OFDM,comb,0.94376384,0.47310672,0.54063383,,,stage2a,reused
channel,pilot=0.0625; snr=10,DnCNN,0.0625,10,0,noisy synthetic OFDM,comb,0.94360150,0.47302535,0.54045652,,,stage2a,reused
channel,pilot=0.0625; snr=10,PICASSO,0.0625,10,0,noisy synthetic OFDM,comb,0.94491363,0.47368208,0.54072370,,,stage2a,reused
channel,pilot=0.0625; snr=20,LS,0.0625,20,0,noisy synthetic OFDM,comb,0.93822981,0.47033184,0.53307562,,,stage2a,reused
channel,pilot=0.0625; snr=20,DnCNN,0.0625,20,0,noisy synthetic OFDM,comb,0.93828839,0.47036123,0.53311571,,,stage2a,reused
channel,pilot=0.0625; snr=20,PICASSO,0.0625,20,0,noisy synthetic OFDM,comb,0.93980967,0.47112251,0.53365295,,,stage2a,reused
channel,pilot=0.0625; snr=30,LS,0.0625,30,0,noisy synthetic OFDM,comb,0.93767644,0.47005437,0.53068550,,,stage2a,reused
channel,pilot=0.0625; snr=30,DnCNN,0.0625,30,0,noisy synthetic OFDM,comb,0.93788810,0.47016042,0.53096846,,,stage2a,reused
channel,pilot=0.0625; snr=30,PICASSO,0.0625,30,0,noisy synthetic OFDM,comb,0.93901340,0.47072317,0.53133269,,,stage2a,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,0,0,CDL-A,irregular,0.99958551,0.49979275,0.57175419,0.99958551,0.3243,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,0,0,CDL-A,irregular,1.98507449,0.99253725,0.77036479,1.98507449,1.8364,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,0,0,CDL-A,irregular,0.99428129,0.49714065,0.57023536,0.99428129,1.4556,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,0,0,CDL-A,irregular,0.77497491,0.38748746,0.49902940,0.77497491,0.6036,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=0; pattern=irregular,CDL-A,0.5000,0,0,CDL-A,irregular,0.84164295,0.42082147,0.52271526,0.84164295,0.4628,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,0,60,CDL-A,irregular,0.99960524,0.49980262,0.57177739,0.99960524,0.0162,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,0,60,CDL-A,irregular,1.98488992,0.99244496,0.77045132,1.98488992,1.6182,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,0,60,CDL-A,irregular,0.99523346,0.49761673,0.57051736,0.99523346,0.2413,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,0,60,CDL-A,irregular,0.75643891,0.37821946,0.49262051,0.75643891,0.4522,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=60; pattern=irregular,CDL-A,0.5000,0,60,CDL-A,irregular,0.83295771,0.41647886,0.51985078,0.83295771,0.4510,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,0,120,CDL-A,irregular,0.99962007,0.49981003,0.57181703,0.36417162,0.0134,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,0,120,CDL-A,irregular,1.98702613,0.99351306,0.77081239,0.72388327,1.6502,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,0,120,CDL-A,irregular,0.99739081,0.49869540,0.57116345,0.36335927,0.2421,stage4,reused
channel,pilot=0.5000; snr=0; profile=CDL-A; velocity=120; pattern=irregular,CDL-A,0.5000,0,120,CDL-A,irregular,0.74420990,0.37210495,0.48841298,0.27109589,0.4588,stage4,reused
